id_szkoly,nazwa_szkoly,adres,miejscowosc,kod_pocztowy,dzielnica
25478,XL Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefana Żeromskiego,Platynowa 1,Warszawa,00-808,Wola
25477,XII Liceum Ogólnokształcące im. Henryka Sienkiewicza,Sienna 53,Warszawa,00-820,Wola
76660,I Społeczne Liceum Ogólnokształcące,Zawiszy 13,Warszawa,01-167,Wola
25503,Prywatne Liceum Ogólnokształcące Zgromadzenia Sióstr Zmartwychwstania Pańskiego im. Matki Jadwigi Borzęckiej w Warszawie,Krasińskiego 31,Warszawa,01-784,Żoliborz
25505,LXIV Liceum Ogólnokształcące im. Stanisława Ignacego Witkiewicza w Zespole Szkół nr 54 w Warszawie,Elbląska 51,Warszawa,01-737,Żoliborz
25506,CXIV Liceum Ogólnokształcące im. Jana Kilińskiego,Felińskiego 13,Warszawa,01-513,Żoliborz
25501,I Liceum Ogólnokształcące z Oddziałami Integracyjnymi im B. Limanowskiego,Felińskiego 15,Warszawa,01-513,Żoliborz
25502,XVI Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Stefanii Sempołowskiej,Ks. J. Popiełuszki 5,Warszawa,01-786,Żoliborz
77426,Liceum Ogólnokształcące - Szkoła Główna Biznesu,Felińskiego 15,Warszawa,01-513,Żoliborz
77027,CXXIV Liceum Ogólnokształcące Specjalne przy Instytucie Głuchoniemych,plac Trzech Krzyzy 4/6,Warszawa,00-499,Śródmieście
25460,XXVI Liceum Ogólnokształcące im. gen. Henryka Jankowskiego Kuby,Alpejska 16,Warszawa,04-713,Wawer
25308,XLI Liceum Ogólnokształcące Joachima Lelewela,Kiwerska 3,Warszawa,01-682,Bielany
31427,AS - Liceum Ogólnokształcące dla Dorosłych,Żuromińska 4,Warszawa,03-341,Targówek
77424,Liceum Ogólnokształcące dla Dorosłych,Ratuszowa 11,Warszawa,03-450,Praga-Północ
25416,Ogólnokształcąca Szkoła Muzyczna II st. im. Zenona Brzewskiego w Zespole Państwowych Szkół Muzycznych nr 1 w Warszawie - liceum,Miodowa 22 CD,Warszawa,00-246,Śródmieście
25423,Ogólnokształcąca Szkoła Baletowa im. Romana Turczynowicza - liceum,Moliera 4/6,Warszawa,00-076,Śródmieście
25490,Zespół Państwowych Ogólnokształcących Szkół Muzycznych I i II stopnia nr 3 im. Grażyny Bacewicz - liceum,Tyszkiewicza 42,Warszawa,01-172,Wola
25492,Ogólnokształcąca Szkoła Sztuk Pięknych im. Wojciecha Gersona w Zespole Państwowych Szkół Plastycznych w Warszawie - liceum,Smocza 6,Warszawa,01-009,Wola
25507,Ogólnokształcąca Szkoła muzyczna II stopnia w Zespole Państwowych Szkół Muzycznych nr 4 im. Karola Szymanowskiego w Warszawie -liceum,Krasińskiego 1,Warszawa,01-530,Żoliborz
