kod_ucznia,rok,rocznik,plec,poczta,wojewodztwo,zainteresowanie,poziom_stypendium
822642,2012,1995,K,Inowrocław,kujawsko-pomorskie,matematyka,1
130842,2012,1995,K,Białystok,podlaskie,matematyka,1
141190,2012,1995,M,Bolesławiec,dolnośląskie,matematyka,2
153718,2012,1995,M,Bydgoszcz,kujawsko-pomorskie,informatyka,2
447142,2012,1995,M,Dobrcz,kujawsko-pomorskie,matematyka,1
87374,2012,1995,M,Józefów,mazowieckie,informatyka,1
44284,2012,1995,M,Strzelce Opolskie,opolskie,matematyka,1
141756,2012,1995,M,Jasło,podkarpackie,informatyka,1
832869,2012,1995,M,Daszewice,wielkopolskie,fizyka,1
285652,2012,1994,M,Bydgoszcz,kujawsko-pomorskie,matematyka,2
530026,2012,1994,M,Warszawa,mazowieckie,informatyka,1
233653,2012,1994,M,Radomyśl Wielki,podkarpackie,informatyka,2
544642,2012,1994,M,Warszawa,mazowieckie,matematyka,3
943682,2012,1994,M,Olsztyn,warmińsko-mazurskie,informatyka,1
374216,2012,1994,M,Katowice,śląskie,matematyka,1
545887,2012,1994,M,Bydgoszcz,kujawsko-pomorskie,informatyka,3
655859,2012,1994,M,Brwinów,mazowieckie,informatyka,1
704108,2012,1994,M,Andrychów,małopolskie,fizyka,3
893417,2012,1994,M,Bydgoszcz,kujawsko-pomorskie,fizyka,2
999178,2012,1994,M,Tarnowskie Góry,śląskie,matematyka,1
394462,2012,1994,M,Dziećmorowice,dolnośląskie,fizyka,1
853751,2012,1997,K,Sękowa,małopolskie,matematyka,1
926379,2012,1999,M,Murowana Goślina,wielkopolskie,informatyka,1
521112,2012,1994,M,Rzeszów,podkarpackie,matematyka,1
72217,2012,1998,M,Giżycko,warmińsko-mazurskie,matematyka,1
738491,2012,1997,M,Mielec,podkarpackie,fizyka,1
392858,2012,1998,M,Ciechanów,mazowieckie,matematyka,1
633180,2012,1996,M,Lublin,lubelskie,matematyka,1
876896,2012,1998,K,Lubicz Górny,kujawsko-pomorskie,astronomia,1
789990,2012,1998,M,Bydgoszcz,kujawsko-pomorskie,matematyka,1
650922,2012,1997,M,Rzeszów,podkarpackie,matematyka,1
41936,2012,1999,M,Warszawa,mazowieckie,fizyka,1
934467,2012,1996,M,Trzcianka,wielkopolskie,fizyka,1
305462,2012,1999,M,Szczecin,zachodniopomorskie,fizyka,1
547748,2012,1996,M,Lublin,lubelskie,informatyka,1
59256,2012,1996,M,Radom,mazowieckie,informatyka,1
669989,2012,1999,M,Gaszyn,łódzkie,matematyka,1
54339,2012,1998,M,Bydgoszcz,kujawsko-pomorskie,informatyka,1
932184,2012,1995,M,Ustroń,śląskie,fizyka,1
47864,2012,2001,M,Tarnów,małopolskie,matematyka,1
491969,2012,1997,M,Nagoszyn,podkarpackie,chemia,1
903779,2012,1997,M,Bydgoszcz,kujawsko-pomorskie,informatyka,1
929659,2012,1998,M,Gdynia,pomorskie,informatyka,2
596003,2012,1996,K,Szczecin,zachodniopomorskie,matematyka,2
445789,2012,1994,M,Kraków,małopolskie,chemia,2
734586,2012,1996,M,Piastów,mazowieckie,informatyka,2
870597,2012,1995,M,Pawłowice,śląskie,matematyka,2
169716,2012,1994,M,Gdańsk,pomorskie,matematyka,1
92467,2012,1994,M,Purda,warmińsko-mazurskie,matematyka,1
141557,2012,1994,M,Andrychów,małopolskie,informatyka,2
